cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,subclass.count
30225403,Isoferulic acid 3-sulfate,Phenolic acids,2,Hydroxycinnamic acids,274,194,Sulfate,33
70105203,2-Hydroxyenterodiol,Lignans,4,Lignans,318,318,Aglycone,31
70105803,2'-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70105503,2-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70105303,4-Hydroxyenterodiol,Lignans,4,Lignans,318,318,Aglycone,31
70105903,4'-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70105603,4-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70106103,5-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70105403,6-Hydroxyenterodiol,Lignans,4,Lignans,318,318,Aglycone,31
70106003,6'-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70105703,6-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70106203,7-Hydroxyenterolactone,Lignans,4,Lignans,314,314,Aglycone,31
70102203,7-Hydroxymatairesinol,Lignans,4,Lignans,374,374,Aglycone,31
70102503,Cyclolariciresinol,Lignans,4,Lignans,360,360,Aglycone,31
70104803,Deoxyschisandrin,Lignans,4,Lignans,416,416,Aglycone,31
70103803,Enterodiol,Lignans,4,Lignans,302,302,Aglycone,31
70103903,Enterolactone,Lignans,4,Lignans,298,298,Aglycone,31
70103603,Episesaminol,Lignans,4,Lignans,370,370,Aglycone,31
70104203,Gomisin D,Lignans,4,Lignans,530,530,Aglycone,31
70104703,Gomisin M2,Lignans,4,Lignans,386,386,Aglycone,31
70100303,Lariciresinol,Lignans,4,Lignans,360,360,Aglycone,31
70100203,Matairesinol,Lignans,4,Lignans,358,358,Aglycone,31
70104103,Schisandrin,Lignans,4,Lignans,432,432,Aglycone,31
70104903,Schisandrin B,Lignans,4,Lignans,400,400,Aglycone,31
70105103,Schisandrin C,Lignans,4,Lignans,384,384,Aglycone,31
70104303,Schisandrol B,Lignans,4,Lignans,416,416,Aglycone,31
70104503,Schisanhenol,Lignans,4,Lignans,402,402,Aglycone,31
70104603,Schisantherin A,Lignans,4,Lignans,536,536,Aglycone,31
70100103,Secoisolariciresinol,Lignans,4,Lignans,362,362,Aglycone,31
70101603,Sesaminol,Lignans,4,Lignans,370,370,Aglycone,31
70104403,Tigloylgomicin H,Lignans,4,Lignans,500,500,Aglycone,31
70104003,Sesaminol 2-O-triglucoside,Lignans,4,Lignans,777,370,Glycoside,31
10500203,(-)-Epicatechin,Flavonoids,1,Flavanols,290,290,Aglycone,27
10500503,(-)-Epicatechin 3-O-gallate,Flavonoids,1,Flavanols,442,290,Aglycone,27
10500403,(-)-Epigallocatechin,Flavonoids,1,Flavanols,306,306,Aglycone,27
10500603,(-)-Epigallocatechin 3-O-gallate,Flavonoids,1,Flavanols,458,306,Aglycone,27
10500103,(+)-Catechin,Flavonoids,1,Flavanols,290,290,Aglycone,27
10511603,3'-O-Methylcatechin,Flavonoids,1,Flavanols,304,304,Aglycone,27
10511203,3'-O-Methylepicatechin,Flavonoids,1,Flavanols,304,304,Aglycone,27
10511803,"4',4""-O-Dimethylepigallocatechin 3-O-gallate",Flavonoids,1,Flavanols,486,332,Aglycone,27
10512103,4'-O-Methylepicatechin,Flavonoids,1,Flavanols,304,304,Aglycone,27
10511903,4'-O-Methylepigallocatechin,Flavonoids,1,Flavanols,320,320,Aglycone,27
10512003,4''-O-Methylepigallocatechin 3-O-gallate,Flavonoids,1,Flavanols,472,320,Aglycone,27
10503303,Procyanidin dimer B1,Flavonoids,1,Flavanols,578,578,Aglycone,27
10503403,Procyanidin dimer B2,Flavonoids,1,Flavanols,578,578,Aglycone,27
10503503,Procyanidin dimer B3,Flavonoids,1,Flavanols,578,578,Aglycone,27
10503603,Procyanidin dimer B4,Flavonoids,1,Flavanols,578,578,Aglycone,27
10505503,Procyanidin trimer C2,Flavonoids,1,Flavanols,866,866,Aglycone,27
10501203,Theaflavin,Flavonoids,1,Flavanols,564,564,Aglycone,27
10513203,(-)-Epigallocatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,482,306,Glucuronide,27
10512603,(-)-Epigallocatechin 3-O-glucuronide,Flavonoids,1,Flavanols,482,306,Glucuronide,27
10513303,(-)-Epigallocatechin 7-O-glucuronide,Flavonoids,1,Flavanols,482,306,Glucuronide,27
10513003,3'-O-Methyl-(-)-epicatechin 7-O-glucuronide,Flavonoids,1,Flavanols,480,304,Glucuronide,27
10511303,4'-O-Methyl-(-)-epicatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,480,304,Glucuronide,27
