bc.no,inter,dose.type,species,species2,cicon,cicon2,identified.as,compound,metab.type,subclass,method,meth.extr,biofluid,hydrolysis.full,hydroylsis,quantified,trace,comments
2016,340,Food,rat,Rat,10103203,101032,delphinidin 3-O-arabinoside,Delphinidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1904,318,Experimental food,rat,Rat,10103403,101034,petunidin 3-o-?-g-D-galactopiranoside,Petunidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1951,325,Food,rat,Rat,10103403,101034,Petunidin-3-O-galactose,Petunidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2020,340,Food,rat,Rat,10103403,101034,petunidin 3-O-galactoside,Petunidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1906,318,Experimental food,rat,Rat,10103503,101035,cyanidin 3-o-?-L-arabinopyranoside,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1950,325,Food,rat,Rat,10103503,101035,cyanidin-3-O-arabinose,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1907,318,Experimental food,rat,Rat,10103603,101036,petunidin 3-O-?-D-glucopiranoside,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1909,318,Experimental food,rat,Rat,10103603,101036,petunidin 3-O-?-D-arabinopiranoside,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1952,325,Food,rat,Rat,10103603,101036,Petunidin-3-O-glucose,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2021,340,Food,rat,Rat,10103603,101036,petunidin 3-O-glucoside,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1908,318,Experimental food,rat,Rat,10103703,101037,peonidin 3-O-?-D-galactopiranoside,Peonidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1955,325,Food,rat,Rat,10103703,101037,peonidin-3-O-galactose,Peonidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1953,325,Food,rat,Rat,10103803,101038,petunidin-3-O-arabinose,Petunidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2022,340,Food,rat,Rat,10103803,101038,petunidin 3-O-arabinoside,Petunidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1912,318,Experimental food,rat,Rat,10103903,101039,malvidin 3-O-?-D-glucopiranoside,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1959,325,Food,rat,Rat,10103903,101039,malvidin-3-O-glucose,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2018,340,Food,rat,Rat,10103903,101039,malvidin 3-O-glucoside,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1913,318,Experimental food,rat,Rat,10104003,101040,malvidin 3-O-?-D-arabinopiranoside,Malvidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1960,325,Food,rat,Rat,10104003,101040,malvidin-3-O-arabinose,Malvidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2019,340,Food,rat,Rat,10104003,101040,malvidin 3-O-arabinoside,Malvidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1954,325,Food,rat,Rat,10104703,101047,petunidin-3-O-glucose-acetyl,Petunidin 3-O-(6''-acetyl-glucoside),Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2004,337,Pure compound,rat,Rat,10105203,101052,delphinidin-3-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2005,337,Pure compound,rat,Rat,10105203,101052,delphinidin-3-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2089,353,Food,rat,Rat,10105203,101052,delphinidin-3-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
