dose.cicon,metab.cicon
10500203,30103403
10500203,30506303
10500203,30506003
10500203,30200803
10600903,10600903
10500203,30305903
10500203,30100203
10800203,10800203
10500203,30100403
10500503,10500503
10500503,30600503
10500503,30600503
10500403,30600703
10500403,30600503
10500403,30600803
10500603,10500603
10500603,10500603
10500603,10500603
10500603,10500603
10500603,10500603
10500603,10500603
10500603,100100203
10500603,100100203
10500603,30109703
10500603,30109703
10500603,30508303
10500603,10511803
10500603,10511803
10500603,10511803
10500603,10511803
10500603,10511803
10500603,100010003
10500603,90203003
10500603,10512003
10500603,10512003
10500603,30109803
10800203,10800203
10800203,10800203
10500603,30109803
10500603,30600703
10800403,10800203
10500603,30600703
10500603,30600703
10500603,30600503
10500603,30600503
10500603,30600503
10500603,30600803
10500603,30600803
10500603,30600803
10500603,30103403
10500603,30506303
10500603,30506003
10500603,30200803
10500603,30100303
10500603,30100303
10500603,30305903
10500603,30100203
10500603,30100403
10600703,30200503
10600703,10600203
10600703,10600203
10600703,10600203
10806703,10800203
10806703,10803403
10806703,10806103
10806703,10806103
10600703,10600203
10600703,10600303
10600703,10600303
30200803,30200803
30200803,30200803
10900303,30508603
10900303,10903903
10900303,10905503
10900303,10900303
10900303,10900303
10600803,10600303
10600803,10603403
10803403,10803403
10803403,10803403
10900103,10900103
10803403,10803403
70100303,70106203
70100303,70106203
70100303,70102203
70100303,70102203
70100303,70102503
70100303,70102503
70100303,70103803
70100303,70103803
70100303,70103903
70100303,70103903
70100303,70100303
70100303,70100303
70100303,70100203
