CLASS,SUBCLASS,FAMILY,DTAGA,CICON,CICON2
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Dihydrochalcones,Dihydrochalcones,Phloridzin,10300201,103002
Flavonoids,Dihydroflavonols,Dihydroflavonols,Dihydroquercetin,10400201,104002
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavanones,Flavanones,Pinocembrin,10602301,106023
Flavonoids,Flavanones,Methoxyflavanones,Sakuranetin,10602901,106029
Flavonoids,Flavones,Flavones,6-Hydroxyluteolin,10708201,107082
Flavonoids,Flavones,Flavones,6-Hydroxyluteolin 7-O-rhamnoside,10708301,107083
Flavonoids,Flavones,Flavones,Apigenin 7-O-glucoside,10702101,107021
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavones,Flavones,Luteolin 7-O-glucoside,10702001,107020
Flavonoids,Flavones,Flavones,Scutellarein,10708401,107084
Flavonoids,Flavones,Methoxyflavones,Cirsimaritin,10707301,107073
Flavonoids,Flavones,Methoxyflavones,Hispidulin,10707201,107072
Flavonoids,Flavonols,Flavonols,Galangin,10803301,108033
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Methylgalangin,10812101,108121
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Rosmarinic acid,30201101,302011
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Other polyphenols,Furanocoumarins,Furanocoumarins,Bergapten,90700101,907001
Other polyphenols,Furanocoumarins,Furanocoumarins,Isopimpinellin,90700401,907004
Other polyphenols,Furanocoumarins,Furanocoumarins,Psoralen,90700201,907002
Other polyphenols,Furanocoumarins,Furanocoumarins,Xanthotoxin,90700301,907003
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavones,Methoxyflavones,Tangeretin,10701201,107012
Flavonoids,Flavonols,Flavonols,Galangin,10803301,108033
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Flavonoids,Flavonols,Methoxyflavonols,Rhamnetin,10804401,108044
