"CLASS","SUBCLASS","FAMILY","DTAGA","CICON"
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavones","Methoxyflavones","Nobiletin",10701103
"Flavonoids","Flavones","Methoxyflavones","Sinensetin",10700903
"Flavonoids","Flavones","Methoxyflavones","Tangeretin",10701203
"Flavonoids","Flavonols","Methoxyflavonols","3-Methoxynobiletin",10812703
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202203
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-(6''-malonyl-glucoside)",10101603
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-glucoside",10100903
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
"Flavonoids","Flavanones","Flavanones","Eriocitrin",10600703
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neoeriocitrin",10601103
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavones","Methoxyflavones","Nobiletin",10701103
"Flavonoids","Flavones","Methoxyflavones","Sinensetin",10700903
"Flavonoids","Flavones","Methoxyflavones","Tangeretin",10701203
"Flavonoids","Flavonols","Methoxyflavonols","3-Methoxynobiletin",10812703
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218003
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamoyl glucose",30203203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202203
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Other polyphenols","Other polyphenols","Other polyphenols","Phlorin",90160703
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Flavones","Luteolin",10700203
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Myricetin",10802203
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavones","Methoxyflavones","Nobiletin",10701103
"Flavonoids","Flavones","Methoxyflavones","Sinensetin",10700903
"Flavonoids","Flavones","Methoxyflavones","Tangeretin",10701203
"Other polyphenols","Other polyphenols","Other polyphenols","Phlorin",90160703
"Flavonoids","Dihydrochalcones","Dihydrochalcones","Phloridzin",10300203
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500103
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Flavonoids","Dihydrochalcones","Dihydrochalcones","Phloridzin",10300203
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500103
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Flavonoids","Dihydrochalcones","Dihydrochalcones","Phloridzin",10300203
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
