,uPPc_1,uPPc_2,uPPc_3,uPPc_4,uPPc_5,uPPc_6,uPPc_7,uPPc_8,uPPc_9,uPPc_10,uPPc_11,uPPc_12,uPPc_13,uPPc_14,uPPc_15,uPPc_16,uPPc_17,uPPc_18,uPPc_19,uPPc_20,uPPc_21,uPPc_22,uPPc_23,uPPc_24,uPPc_25,uPPc_26,uPPc_27,uPPc_28,uPPc_29,uPPc_33,uPPc_34,uPPc_35,uPPc_36,uPPc_37,uPPc_38,uPPc_39
PP_618,-0.06331,0.06875,-0.13906,0.12452,-0.1295,-0.02432,0.01669,-0.12575,-0.01627,-0.15694,-0.10872,-0.06798,-0.002,-0.01554,-0.00168,-0.14766,-0.07573,0.03318,-0.00247,-0.07544,0.008,-0.06248,-0.02698,-0.05859,0.10537,-0.03663,-0.06006,0.02679,-0.11654,-0.10484,-0.05366,-0.12609,-0.20732,-0.07082,-0.08548,0.10697
PP_623,-0.00019,0.02214,0.0662,0.10396,0.06257,0.01083,0.07266,0.07485,0.02058,-0.11581,-0.04895,-0.03321,-0.12367,-0.02052,-0.02941,-0.04558,-0.03072,-0.0514,0.03935,-0.06503,0.08401,-0.05367,-0.04706,-0.07191,0.0736,0.01743,-0.01403,-0.00033,-0.09739,-0.02885,-0.06731,-0.04233,-0.02615,0.10992,0.03302,0.04377
PP_624,-0.06644,0.04771,-0.10876,0.10748,-0.11043,-0.01874,0.0288,-0.09069,-0.02996,-0.13707,-0.11158,-0.08642,-0.02433,-0.00496,-0.02322,-0.14145,-0.08375,0.01426,-0.01087,-0.08005,0.00301,-0.07391,-0.04606,-0.07659,0.08457,-0.02924,-0.06473,-0.00646,-0.12292,-0.0984,-0.06621,-0.117,-0.17492,-0.03968,-0.10568,0.07544
PP_625,-0.00019,0.02214,0.0662,0.10396,0.06257,0.01083,0.07266,0.07485,0.02058,-0.11581,-0.04895,-0.03321,-0.12367,-0.02052,-0.02941,-0.04558,-0.03072,-0.0514,0.03935,-0.06503,0.08401,-0.05367,-0.04706,-0.07191,0.0736,0.01743,-0.01403,-0.00033,-0.09739,-0.02885,-0.06731,-0.04233,-0.02615,0.10992,0.03302,0.04377
PP_627,-0.04468,0.17989,0.03733,0.19497,-0.03485,0.15305,0.01836,0.02211,0.12651,0.02736,-0.07179,-0.02723,0.19242,-0.02177,0.04852,-0.0915,0.06603,-0.06922,0.13315,0.00905,0.08894,-0.05706,-0.05094,0.11336,0.14591,0.02881,0.00959,0.01683,0.06335,-0.03622,-0.03659,-0.08891,-0.06577,-0.00471,0.00645,0.07729
PP_628,-0.17921,0.00231,-0.21494,-0.01105,-0.28821,-0.04939,-0.00747,-0.15682,-0.19772,-0.10289,-0.22086,-0.27662,0.09461,0.11264,-0.11381,-0.22819,-0.17282,-0.02346,-0.14449,-0.12271,-0.11939,-0.09266,-0.10772,-0.16163,-0.03796,-0.03585,-0.16405,-0.27695,-0.16023,-0.12907,-0.15751,-0.15161,-0.13991,-0.06976,-0.4597,-0.0694
PP_630,0.33625,-0.09939,-0.06956,-0.05641,0.09648,-0.0282,0.35785,-0.00114,0.06636,0.00557,0.22165,0.11096,0.00646,0.10982,0.0836,0.29744,0.0852,0.14068,-0.02144,-0.02051,-0.03382,0.02778,0.01749,-0.02724,-0.09583,0.04469,0.37523,0.07494,0.01105,0.43038,-0.03427,0.0465,0.0469,-0.00759,-0.00937,-0.01658
PP_631,0.35095,-0.13664,0.00771,-0.07009,0.17113,-0.05055,0.36925,0.09255,0.05215,0.03514,0.28081,0.1685,0.01928,0.08504,0.2003,0.38343,0.1097,0.19953,-0.0235,0.03141,-0.00273,0.05033,0.06273,-0.0015,-0.06286,0.04863,0.45305,0.04936,0.04094,0.45195,-0.0533,0.11716,0.09492,-0.01158,0.01257,-0.0524
PP_632,0.20377,-0.22555,0.2488,-0.03025,0.27649,-0.11026,0.09692,0.25383,-0.04868,0.03689,0.11608,0.11948,-0.18283,0.01415,0.10423,0.22789,0.02342,0.19074,-0.00664,0.1138,0.03235,0.09948,0.02137,-0.00612,0.03917,-0.01775,0.22902,-0.07245,0.04792,0.17635,0.03299,0.26371,0.13801,0.06766,0.01671,-0.11386
PP_633,0.33885,-0.09927,-0.06853,-0.05376,0.09349,-0.03497,0.36502,-0.00496,0.06529,0.00539,0.22096,0.11025,0.00633,0.09885,0.09116,0.30244,0.09103,0.13696,-0.02233,-0.01613,-0.03779,0.02279,0.01862,-0.02327,-0.10006,0.03928,0.3819,0.07466,0.00326,0.43733,-0.04294,0.04146,0.04758,-0.01664,-0.00768,-0.01136
PP_634,0.33863,-0.10102,-0.06716,-0.05477,0.09639,-0.03612,0.36549,-0.00261,0.06529,0.00704,0.22374,0.11108,0.00707,0.09818,0.09389,0.3051,0.09127,0.13855,-0.02286,-0.01513,-0.03699,0.02358,0.02061,-0.02323,-0.09964,0.04096,0.38392,0.07302,0.00436,0.43776,-0.04451,0.04445,0.04949,-0.01537,-0.00721,-0.01258
PP_636,0.34127,-0.10162,-0.06609,-0.05514,0.09338,-0.0347,0.36723,-0.00257,0.06503,0.00497,0.22194,0.11119,0.00431,0.09828,0.09085,0.30455,0.09156,0.13938,-0.02271,-0.01657,-0.03972,0.02246,0.01818,-0.02357,-0.10152,0.0381,0.3836,0.07422,0.00289,0.43954,-0.04404,0.04225,0.04827,-0.01607,-0.00732,-0.01317
PP_637,0.16922,0.00002,0.05009,-0.01443,0.07711,-0.03225,0.09312,0.06822,-0.00262,0.1172,0.24037,0.1362,0.16203,-0.04196,0.32936,0.26187,0.09342,0.20473,0.01957,0.06844,0.02676,0.05061,0.08672,0.06059,0.07465,0.05872,0.27581,-0.02531,0.09948,0.15809,-0.05856,0.08711,0.08545,-0.04761,0.07828,-0.04295
PP_638,-0.0185,0.27982,-0.08904,0.28272,-0.07033,0.13312,0.0532,-0.09862,0.18055,-0.07699,-0.08364,0.04933,0.17862,-0.07896,0.11394,-0.05886,0.09516,0.07513,0.13597,0.0058,0.05497,0.05143,0.06677,0.17877,0.19662,0.07532,0.04867,0.22164,0.09447,0.00163,0.17182,-0.00844,-0.2406,-0.14592,0.15296,0.23249
PP_639,0.19755,-0.12924,0.48005,0.07241,0.30944,0.04225,0.16656,0.47226,0.08397,0.10106,0.14664,0.08045,-0.07859,-0.09434,0.12716,0.27209,0.11239,0.20937,0.10781,0.20428,0.09736,0.08621,0.01296,0.10514,0.05916,0.07712,0.27752,-0.11906,0.16929,0.2079,0.01693,0.31938,0.18679,0.13028,-0.00623,-0.18549
PP_640,0.26083,-0.15196,0.49685,0.05405,0.32583,-0.00823,0.20166,0.49306,0.07766,0.07866,0.19212,0.11066,-0.10044,-0.08946,0.15007,0.32002,0.11752,0.26239,0.0857,0.19775,0.07862,0.10256,0.02069,0.10001,0.05283,0.04363,0.32672,-0.08457,0.16107,0.25374,0.05017,0.33391,0.21799,0.11884,0.05285,-0.19312
PP_641,0.34805,-0.12855,0.47687,0.14017,0.34015,-0.05898,0.24021,0.46749,0.12016,0.01706,0.23011,0.21227,-0.09302,-0.04234,0.23858,0.35272,0.16773,0.35899,0.1079,0.21799,0.08938,0.19453,0.08261,0.14686,0.13373,0.03313,0.41849,0.03127,0.14723,0.31757,0.15992,0.34663,0.14561,0.07138,0.16465,-0.1058
PP_642,0.21124,-0.15687,0.50047,0.04914,0.32221,0.03123,0.1684,0.49287,0.06869,0.10578,0.16151,0.08624,-0.10775,-0.09229,0.11761,0.29113,0.09753,0.21713,0.09591,0.20748,0.09364,0.08486,0.00373,0.10026,0.03947,0.06765,0.28329,-0.13616,0.1694,0.22195,0.01825,0.32686,0.21878,0.14182,-0.01274,-0.2141
PP_643,-0.01853,0.28049,-0.08882,0.2837,-0.07102,0.13236,0.05373,-0.09853,0.18112,-0.07813,-0.08375,0.04947,0.17916,-0.07957,0.11471,-0.05872,0.0945,0.07581,0.13616,0.00598,0.05444,0.05088,0.06647,0.17932,0.1975,0.07423,0.04955,0.22156,0.09377,0.00193,0.17174,-0.00928,-0.24122,-0.14646,0.15218,0.23234
PP_644,0.22424,-0.19793,0.51025,0.00224,0.33974,0.02591,0.1631,0.50829,0.04683,0.11872,0.18889,0.10123,-0.1546,-0.09093,0.09458,0.31341,0.07999,0.21418,0.07298,0.20264,0.09352,0.08219,-0.01121,0.08279,0.0054,0.07058,0.28198,-0.16431,0.1699,0.23258,0.01731,0.3299,0.26136,0.16593,-0.02425,-0.25279
PP_645,-0.0138,0.29711,-0.07917,0.30854,-0.08604,0.11372,0.0741,-0.09619,0.19213,-0.10059,-0.08681,0.05125,0.19892,-0.06941,0.13747,-0.04872,0.08301,0.09171,0.13969,0.00849,0.03824,0.0376,0.06313,0.19511,0.21428,0.05054,0.07138,0.22521,0.08608,0.01456,0.16503,-0.02501,-0.2472,-0.15171,0.14914,0.22887
PP_646,-0.01831,0.27776,-0.0891,0.28004,-0.06882,0.13439,0.05212,-0.09786,0.18035,-0.07403,-0.0826,0.04899,0.17681,-0.07886,0.11194,-0.0587,0.09641,0.07354,0.13532,0.00538,0.05699,0.05339,0.06811,0.17748,0.19491,0.07782,0.04673,0.22188,0.09566,0.00138,0.17162,-0.00695,-0.23964,-0.14507,0.15396,0.23274
PP_647,0.23866,-0.13155,0.48434,0.07539,0.3164,0.00976,0.1889,0.47698,0.09145,0.08608,0.17411,0.10264,-0.0776,-0.08758,0.15461,0.29793,0.12853,0.24689,0.10223,0.2053,0.08914,0.10528,0.02924,0.10958,0.07208,0.05667,0.31112,-0.08099,0.16508,0.23307,0.04704,0.33142,0.18911,0.11005,0.04943,-0.17149
PP_657,-0.27995,-0.06447,-0.17224,-0.13483,0.22575,-0.15014,-0.15441,-0.07095,-0.22005,-0.08147,-0.15073,-0.1128,-0.07414,-0.30047,-0.18182,-0.03735,-0.11434,-0.23542,-0.29088,0.05541,-0.01528,-0.16411,-0.22334,-0.40018,-0.07627,-0.00944,-0.1211,-0.11974,0.04523,-0.16756,-0.07968,0.19412,0.00218,-0.0506,0.04931,-0.02716
PP_661,-0.27766,0.21033,-0.27051,0.03114,-0.20209,0.1029,-0.17497,-0.25026,0.00791,-0.02467,-0.20432,-0.11749,0.15255,-0.05414,-0.14032,-0.28201,-0.09489,-0.24954,0.01759,-0.13061,0.00984,-0.16025,-0.07795,-0.01166,-0.05473,0.01706,-0.27584,-0.06228,-0.07461,-0.25187,-0.11723,-0.21695,-0.10563,-0.0261,-0.20115,0.0602
PP_662,-0.29142,0.28781,-0.30523,0.08423,-0.27151,0.15136,-0.17391,-0.29436,0.01901,-0.05304,-0.23326,-0.13255,0.22317,-0.07534,-0.13761,-0.32313,-0.10928,-0.25414,0.03446,-0.11066,0.00124,-0.15976,-0.07792,0.02517,-0.02296,0.01728,-0.27249,-0.02419,-0.07626,-0.25032,-0.07111,-0.2729,-0.18038,-0.09265,-0.16567,0.11652
PP_663,-0.18607,0.09691,-0.03159,0.00573,-0.05178,0.09354,-0.10059,0.00004,-0.02892,0.03465,-0.13145,-0.12236,0.03893,-0.13036,-0.16059,-0.16349,-0.11026,-0.20227,-0.02145,-0.03358,0.01524,-0.11932,-0.10228,-0.0451,-0.09285,0.03342,-0.16872,-0.17153,-0.01992,-0.14584,-0.10359,-0.08746,0.03254,0.04734,-0.22911,-0.08646
