bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,urinary.ex,ue.error,error.measure,ue.period
2036,343,human,10104003,Malvidin 3-O-arabinoside,Anthocyanins,463,None,0.01,NA,NA,7
2037,343,human,10103403,Petunidin 3-O-galactoside,Anthocyanins,479,None,0.011,NA,NA,7
2038,343,human,10103603,Petunidin 3-O-glucoside,Anthocyanins,479,None,0.004,NA,NA,7
2039,343,human,10103803,Petunidin 3-O-arabinoside,Anthocyanins,449,None,0.012,NA,NA,7
2040,341,human,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.006,NA,NA,7
2041,342,human,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.04,NA,NA,7
2042,343,human,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.007,NA,NA,7
2043,343,human,10103503,Cyanidin 3-O-arabinoside,Anthocyanins,419,None,0.003,NA,NA,7
2044,342,human,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,0.007,NA,NA,7
2045,343,human,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,0.056,NA,NA,7
2046,342,human,10105203,Delphinidin 3-O-rutinoside,Anthocyanins,611,None,0.067,NA,NA,7
2047,341,human,10102403,Cyanidin 3-O-glucosyl-rutinoside,Anthocyanins,757,None,0.018,NA,NA,7
2048,341,human,10101103,Cyanidin 3-O-sophoroside,Anthocyanins,611,None,0.012,NA,NA,7
2095,355,pig,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.0268,0.0084,SD,24
2097,355,pig,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,0.0771,0.0233,SD,24
2099,355,pig,10101203,Pelargonidin 3-O-glucoside,Anthocyanins,433,None,0.0508,0.0099,SD,24
2100,355,pig,10101803,Peonidin 3-O-glucoside,Anthocyanins,463,None,0.0139,0.006,SEM,24
2101,355,pig,10116803,Isopeonidin 3-O-glucoside,Anthocyanins,463,None,0.0047,0.0027,SEM,24
2102,355,pig,10101903,Peonidin 3-O-rutinoside,Anthocyanins,609,None,0.0017,0.0009,SEM,24
2103,355,pig,10116903,Isopeonidin 3-O-rutinoside,Anthocyanins,609,None,0.0051,0.0022,SEM,24
2104,356,pig,10100803,Cyanidin 3-O-galactoside,Anthocyanins,449,None,0.0596,0.0102,SEM,NA
2105,356,pig,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.0369,0.0073,SEM,NA
2106,357,pig,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.0227,0.0075,SEM,NA
2107,358,pig,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.0478,0.0046,SEM,NA
2109,358,pig,10105303,Cyanidin 3-O-sambubioside,Anthocyanins,581,None,0.1547,0.0233,SEM,NA
2110,356,pig,10105603,Cyanidin 3-O-xyloside,Anthocyanins,419,None,0.0376,0.0083,SEM,NA
2111,356,pig,10103503,Cyanidin 3-O-arabinoside,Anthocyanins,419,None,0.0302,0.0055,SEM,NA
